blueWins,blueKillDiff,blueAssistsDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
0,0.45454545454545453,0.37499999999999994,0.0,0,0.51417004048583,-1,0,-1
0,0.5454545454545454,0.5416666666666666,-0.2,0,0.5587044534412956,1,1,-1
1,0.4242424242424242,0.45833333333333326,0.2,0,0.5303643724696356,0,0,-1
0,0.3939393939393939,0.33333333333333326,-0.8,0,0.417004048582996,-1,0,-1
1,0.5757575757575757,0.6458333333333333,0.2,0,0.38866396761133604,1,0,-1
0,0.6060606060606061,0.6666666666666665,0.4,0,0.5910931174089069,-1,0,1
0,0.5757575757575757,0.5624999999999999,0.0,0,0.46153846153846156,1,0,1
0,0.36363636363636365,0.31249999999999994,-0.6,0,0.5182186234817814,1,0,-1
1,0.6666666666666666,0.6874999999999999,0.8,0,0.4898785425101215,1,0,1
1,0.6060606060606061,0.6041666666666666,0.4,0,0.5344129554655871,1,1,1
0,0.5757575757575757,0.5833333333333333,0.0,0,0.4736842105263158,-1,0,-1
0,0.5454545454545454,0.5208333333333333,0.0,0,0.4008097165991903,-1,0,1
1,0.5757575757575757,0.49999999999999994,0.2,0,0.40890688259109315,-1,0,-1
0,0.48484848484848486,0.49999999999999994,0.0,0,0.5546558704453441,-1,-1,-1
0,0.3333333333333333,0.45833333333333326,-0.2,0,0.417004048582996,1,0,-1
0,0.48484848484848486,0.4791666666666666,-0.2,0,0.4412955465587045,-1,1,1
0,0.45454545454545453,0.43749999999999994,0.2,0,0.51417004048583,-1,1,-1
0,0.4242424242424242,0.45833333333333326,-0.4,0,0.3927125506072875,-1,1,-1
0,0.303030303030303,0.24999999999999994,-0.4,0,0.5222672064777328,-1,0,-1
1,0.6363636363636364,0.6249999999999999,0.4,0,0.6720647773279352,0,0,-1
1,0.6060606060606061,0.6874999999999999,0.0,0,0.5263157894736843,1,0,-1
1,0.5151515151515151,0.49999999999999994,-0.4,0,0.5344129554655871,0,0,1
0,0.48484848484848486,0.5208333333333333,0.4,0,0.5222672064777328,-1,1,1
0,0.24242424242424243,0.39583333333333326,-0.8,-1,0.24291497975708504,0,-1,-1
1,0.7878787878787878,0.6666666666666665,1.2,0,0.708502024291498,0,0,1
1,0.6363636363636364,0.5208333333333333,0.2,1,0.5587044534412956,1,0,1
1,0.48484848484848486,0.5416666666666666,-0.2,0,0.3319838056680162,0,1,-1
0,0.5151515151515151,0.5624999999999999,-0.4,0,0.3441295546558705,0,0,-1
